ID,LON,LAT,DEPTH,DIST,PLATE,QUALITY,REGIME,AZI,geometry
grid_000726,20.5,52.5,0.0,222.34787075696642,EU,C,NF,,POINT (20.5 52.5)
grid_000727,18.5,50.5,0.0,0.1621678552256342,EU,B,NF,,POINT (18.5 50.5)
grid_000728,20.5,50.5,0.0,0.16774699329230502,EU,C,TF,,POINT (20.5 50.5)
grid_000729,19.5,51.5,0.0,111.08331375443942,EU,C,TF,,POINT (19.5 51.5)
grid_000730,19.5,50.5,0.0,0.16495742425269636,EU,C,NF,,POINT (19.5 50.5)
grid_000731,21.5,50.5,0.0,0.1705365623441065,EU,C,TF,,POINT (21.5 50.5)
grid_000735,20.5,51.5,0.0,111.08052418539808,EU,C,TF,,POINT (20.5 51.5)
grid_000738,20.5,54.5,0.0,444.9391271512501,EU,C,TF,,POINT (20.5 54.5)
grid_000739,21.5,54.5,0.0,444.936337582198,EU,C,TF,,POINT (21.5 54.5)
grid_000740,21.5,55.5,0.0,556.2598581620891,EU,C,TF,,POINT (21.5 55.5)
grid_000742,13.5,53.5,0.0,333.65365977099316,EU,B,TF,,POINT (13.5 53.5)
grid_000743,15.5,53.5,0.0,333.64808063304673,EU,B,NF,,POINT (15.5 53.5)
grid_000744,14.5,54.5,0.0,444.9558645653062,EU,C,TF,,POINT (14.5 54.5)
grid_000745,13.5,54.5,0.0,444.9586541342745,EU,C,SS,,POINT (13.5 54.5)
grid_000746,14.5,53.5,0.0,333.6508702020261,EU,B,TF,,POINT (14.5 53.5)
grid_000747,14.5,56.5,0.0,667.621203071503,EU,C,NF,,POINT (14.5 56.5)
grid_000748,14.5,55.5,0.0,556.2793851451972,EU,B,TF,,POINT (14.5 55.5)
grid_000749,15.5,56.5,0.0,667.618413502523,EU,C,TF,,POINT (15.5 56.5)
grid_000750,19.5,54.5,0.0,444.9419167202893,EU,C,TF,,POINT (19.5 54.5)
grid_000751,18.5,54.5,0.0,444.94470628931896,EU,C,TF,,POINT (18.5 54.5)
grid_000752,17.5,55.5,0.0,556.2710164382238,EU,C,TF,,POINT (17.5 55.5)
grid_000754,15.5,55.5,0.0,556.2765955762176,EU,C,TF,,POINT (15.5 55.5)
grid_000755,16.5,55.5,0.0,556.273806007228,EU,C,TF,,POINT (16.5 55.5)
grid_000758,14.5,57.5,0.0,778.9810669821294,EU,B,NF,,POINT (14.5 57.5)
grid_000759,17.5,58.5,0.0,890.350334607083,EU,B,NF,,POINT (17.5 58.5)
grid_000760,16.5,58.5,0.0,890.353124176085,EU,A,NF,,POINT (16.5 58.5)
grid_000761,15.5,58.5,0.0,890.3559137450765,EU,B,NF,,POINT (15.5 58.5)
grid_000765,15.5,57.5,0.0,778.97827741315,EU,A,NF,,POINT (15.5 57.5)
grid_000766,17.5,56.5,0.0,667.6128343645285,EU,C,TF,,POINT (17.5 56.5)
grid_000767,16.5,56.5,0.0,667.6156239335314,EU,C,TF,,POINT (16.5 56.5)
grid_000768,17.5,57.5,0.0,778.9726982751554,EU,B,TF,,POINT (17.5 57.5)
grid_000769,16.5,57.5,0.0,778.9754878441579,EU,B,TF,,POINT (16.5 57.5)
grid_000772,20.5,55.5,0.0,556.262647731141,EU,C,NF,,POINT (20.5 55.5)
grid_000773,18.5,55.5,0.0,556.268226869208,EU,C,TF,,POINT (18.5 55.5)
grid_000774,19.5,55.5,0.0,556.265437300179,EU,C,NF,,POINT (19.5 55.5)
grid_000779,18.5,57.5,0.0,778.9699087061397,EU,B,TF,,POINT (18.5 57.5)
grid_000782,22.5,46.5,0.0,444.97327908203863,EU,C,TF,,POINT (22.5 46.5)
grid_000783,23.5,46.5,0.0,444.97606865111544,EU,C,NF,,POINT (23.5 46.5)
grid_000785,23.5,47.5,0.0,333.80522894763067,EU,C,SS,,POINT (23.5 47.5)
grid_000793,24.5,48.5,0.0,222.61769871140413,EU,C,TF,,POINT (24.5 48.5)
grid_000802,-1.5,41.5,0.0,606.0689629729077,EU,C,NF,,POINT (-1.5 41.5)
grid_000803,-0.5,41.5,0.0,598.6475761747467,EU,C,SS,,POINT (-0.5 41.5)
grid_000804,-1.5,39.5,0.0,388.44474148863924,EU,C,NF,,POINT (-1.5 39.5)
grid_000805,-0.5,39.5,0.0,396.1096648071232,EU,C,NF,,POINT (-0.5 39.5)
grid_000806,-2.5,39.5,0.0,376.84202000673696,EU,C,SS,,POINT (-2.5 39.5)
grid_000807,-2.5,40.5,0.0,487.863622062922,EU,C,TF,,POINT (-2.5 40.5)
grid_000808,-3.5,40.5,0.0,494.5068402765847,EU,C,TF,,POINT (-3.5 40.5)
grid_000809,-3.5,39.5,0.0,385.589494269365,EU,C,TF,,POINT (-3.5 39.5)
grid_000810,-0.5,40.5,0.0,494.79582421499447,EU,C,NF,,POINT (-0.5 40.5)
grid_000811,-1.5,40.5,0.0,496.7546441332147,EU,C,TF,,POINT (-1.5 40.5)
grid_000812,-7.5,37.5,0.0,200.32002351193634,EU,C,SS,,POINT (-7.5 37.5)
grid_000813,-7.5,36.5,0.0,105.27016739266506,EU,C,TF,,POINT (-7.5 36.5)
grid_000814,-6.5,36.5,0.0,151.19161617127145,EU,C,TF,,POINT (-6.5 36.5)
grid_000815,-5.5,36.5,0.0,194.72960037877186,EU,C,TF,,POINT (-5.5 36.5)
grid_000816,-6.5,38.5,0.0,345.0168735455211,EU,C,NF,,POINT (-6.5 38.5)
grid_000817,-5.5,38.5,0.0,357.89400587838026,EU,C,NF,,POINT (-5.5 38.5)
grid_000818,-5.5,37.5,0.0,263.04823350345123,EU,C,TF,,POINT (-5.5 37.5)
grid_000819,-6.5,37.5,0.0,248.13239728359062,EU,C,NF,,POINT (-6.5 37.5)
grid_000820,-1.5,35.5,0.0,30.067439338767922,AF,C,NF,,POINT (-1.5 35.5)
grid_000821,-0.5,35.5,0.0,34.61775711906322,AF,C,NF,,POINT (-0.5 35.5)
grid_000822,-3.5,35.5,0.0,22.089562383261413,AF,C,NF,,POINT (-3.5 35.5)
grid_000823,-2.5,36.5,0.0,44.28459945824002,EU,C,TF,,POINT (-2.5 36.5)
grid_000824,-2.5,35.5,0.0,59.40951536631392,AF,C,NF,,POINT (-2.5 35.5)
grid_000825,-1.5,37.5,0.0,182.02161626604195,EU,C,TF,,POINT (-1.5 37.5)
grid_000826,-0.5,37.5,0.0,183.06388427652453,EU,C,TF,,POINT (-0.5 37.5)
grid_000827,-0.5,36.5,0.0,74.2273895928546,EU,C,SS,,POINT (-0.5 36.5)
grid_000828,-1.5,36.5,0.0,77.69540761144738,EU,C,NF,,POINT (-1.5 36.5)
grid_000829,-4.5,36.5,0.0,120.96282824947416,EU,C,TF,,POINT (-4.5 36.5)
grid_000830,-4.5,37.5,0.0,214.57833795667034,EU,C,TF,,POINT (-4.5 37.5)
grid_000831,-3.5,36.5,0.0,72.80833081845313,EU,C,TF,,POINT (-3.5 36.5)
grid_000832,-0.5,38.5,0.0,289.7863461981621,EU,C,NF,,POINT (-0.5 38.5)
grid_000833,-1.5,38.5,0.0,284.35049718869726,EU,C,SS,,POINT (-1.5 38.5)
grid_000834,-4.5,39.5,0.0,414.06746820431465,EU,C,TF,,POINT (-4.5 39.5)
grid_000835,-3.5,38.5,0.0,279.9038262606194,EU,C,SS,,POINT (-3.5 38.5)
grid_000836,-4.5,38.5,0.0,312.1211354228609,EU,C,TF,,POINT (-4.5 38.5)
grid_000837,-2.5,38.5,0.0,265.8504354841741,EU,C,TF,,POINT (-2.5 38.5)
grid_000838,-2.5,37.5,0.0,154.91207254651658,EU,C,SS,,POINT (-2.5 37.5)
grid_000839,-3.5,37.5,0.0,173.30301171502487,EU,C,TF,,POINT (-3.5 37.5)
grid_000840,-9.5,36.5,0.0,8.905002320632876,EU,C,SS,,POINT (-9.5 36.5)
grid_000841,-10.5,35.5,0.0,77.43610805824677,AF,C,TF,,POINT (-10.5 35.5)
grid_000842,-9.5,35.5,0.0,87.02747371981671,AF,C,SS,,POINT (-9.5 35.5)
grid_000843,-8.5,36.5,0.0,56.616758019157125,EU,C,TF,,POINT (-8.5 36.5)
grid_000844,-8.5,35.5,0.0,38.75037646185378,AF,C,SS,,POINT (-8.5 35.5)
grid_000845,-5.5,35.5,0.0,94.60970757128158,EU,C,TF,,POINT (-5.5 35.5)
grid_000846,-6.5,35.5,0.0,53.208348544079655,EU,C,TF,,POINT (-6.5 35.5)
grid_000847,-7.5,35.5,0.0,8.02629698922362,EU,C,TF,,POINT (-7.5 35.5)
grid_000848,-4.5,35.5,0.0,67.58203550644659,EU,C,NF,,POINT (-4.5 35.5)
grid_000851,-5.5,55.5,0.0,556.3351765222453,EU,C,TF,,POINT (-5.5 55.5)
grid_000852,-3.5,55.5,0.0,556.3295973847572,EU,C,NF,,POINT (-3.5 55.5)
grid_000853,-4.5,55.5,0.0,556.3323869535077,EU,C,SS,,POINT (-4.5 55.5)
grid_000854,-3.5,56.5,0.0,667.6714153110629,EU,C,TF,,POINT (-3.5 56.5)
grid_000855,-4.5,56.5,0.0,667.674204879814,EU,C,SS,,POINT (-4.5 56.5)
grid_000856,-0.5,54.5,0.0,444.99770809854573,EU,C,TF,,POINT (-0.5 54.5)
grid_000857,-0.5,55.5,0.0,556.3212286784365,EU,C,TF,,POINT (-0.5 55.5)
grid_000858,-1.5,55.5,0.0,556.3240182472208,EU,C,TF,,POINT (-1.5 55.5)
grid_000859,-2.5,55.5,0.0,556.3268078159956,EU,C,NF,,POINT (-2.5 55.5)
grid_000861,-2.5,56.5,0.0,667.6686257423017,EU,C,SS,,POINT (-2.5 56.5)
grid_000862,-0.5,50.5,0.0,0.10916604599672067,EU,C,NF,,POINT (-0.5 50.5)
grid_000863,-0.5,51.5,0.0,111.1391051326959,EU,C,NF,,POINT (-0.5 51.5)
grid_000864,-1.5,51.5,0.0,111.14189470148177,EU,C,TF,,POINT (-1.5 51.5)
grid_000865,-4.5,52.5,0.0,222.41760997933233,EU,C,NF,,POINT (-4.5 52.5)
grid_000866,-3.5,52.5,0.0,222.4148204105832,EU,C,NF,,POINT (-3.5 52.5)
grid_000867,-3.5,51.5,0.0,111.14747383901624,EU,C,TF,,POINT (-3.5 51.5)
grid_000868,-4.5,51.5,0.0,111.15026340776593,EU,C,TF,,POINT (-4.5 51.5)
grid_000869,-0.5,53.5,0.0,333.69271373526385,EU,C,NF,,POINT (-0.5 53.5)
grid_000870,-0.5,52.5,0.0,222.40645170426401,EU,C,NF,,POINT (-0.5 52.5)
grid_000871,-1.5,53.5,0.0,333.6955033040503,EU,C,NF,,POINT (-1.5 53.5)
grid_000872,-2.5,52.5,0.0,222.412030841822,EU,C,NF,,POINT (-2.5 52.5)
grid_000873,-1.5,52.5,0.0,222.40924127304754,EU,C,TF,,POINT (-1.5 52.5)
grid_000874,-2.5,51.5,0.0,111.14468427025557,EU,C,NF,,POINT (-2.5 51.5)
grid_000877,-6.5,52.5,0.0,222.4231891167963,EU,C,TF,,POINT (-6.5 52.5)
grid_000878,-6.5,53.5,0.0,333.7094511477977,EU,C,NF,,POINT (-6.5 53.5)
grid_000886,-5.5,52.5,0.0,222.42039954807169,EU,C,NF,,POINT (-5.5 52.5)
grid_000887,-5.5,53.5,0.0,333.7066615790733,EU,C,NF,,POINT (-5.5 53.5)
grid_000888,-6.5,55.5,0.0,556.337966090971,EU,C,TF,,POINT (-6.5 55.5)
grid_000889,-5.5,54.5,0.0,445.0116559423563,EU,C,NF,,POINT (-5.5 54.5)
grid_000890,-6.5,54.5,0.0,445.0144455110814,EU,C,NF,,POINT (-6.5 54.5)
grid_000891,-1.5,54.5,0.0,445.00049766733326,EU,A,NF,,POINT (-1.5 54.5)
grid_000892,-2.5,54.5,0.0,445.00328723610687,EU,C,NF,,POINT (-2.5 54.5)
grid_000893,-2.5,53.5,0.0,333.6982928728241,EU,C,NF,,POINT (-2.5 53.5)
grid_000894,-4.5,54.5,0.0,445.00886637361833,EU,C,SS,,POINT (-4.5 54.5)
grid_000895,-3.5,54.5,0.0,445.0060768048684,EU,C,TF,,POINT (-3.5 54.5)
grid_000896,-4.5,53.5,0.0,333.7038720103355,EU,C,NF,,POINT (-4.5 53.5)
grid_000897,-3.5,53.5,0.0,333.7010824415862,EU,C,TF,,POINT (-3.5 53.5)
grid_000898,-1.5,43.5,0.0,778.3016679525325,EU,C,TF,,POINT (-1.5 43.5)
grid_000899,-0.5,43.5,0.0,778.3044575213186,EU,C,NF,,POINT (-0.5 43.5)
grid_000900,-1.5,45.5,0.0,556.0576471251228,EU,C,TF,,POINT (-1.5 45.5)
grid_000901,-0.5,45.5,0.0,556.0604366939081,EU,C,TF,,POINT (-0.5 45.5)
grid_000903,-3.5,43.5,0.0,778.2960888149969,EU,C,NF,,POINT (-3.5 43.5)
grid_000905,-2.5,43.5,0.0,778.2988783837601,EU,C,NF,,POINT (-2.5 43.5)
grid_000906,-0.5,44.5,0.0,667.1922142941728,EU,C,TF,,POINT (-0.5 44.5)
grid_000907,-1.5,44.5,0.0,667.1894247253873,EU,C,TF,,POINT (-1.5 44.5)
grid_000908,-8.5,44.5,0.0,667.1698977442242,EU,C,TF,,POINT (-8.5 44.5)
grid_000913,-7.5,44.5,0.0,667.1726873129255,EU,C,NF,,POINT (-7.5 44.5)
grid_000914,-6.5,44.5,0.0,667.1754768816387,EU,C,SS,,POINT (-6.5 44.5)
grid_000919,-3.5,47.5,0.0,333.7299105868231,EU,C,TF,,POINT (-3.5 47.5)
grid_000920,-3.5,48.5,0.0,222.53959078150643,EU,C,TF,,POINT (-3.5 48.5)
grid_000921,-1.5,47.5,0.0,333.73548972435856,EU,C,NF,,POINT (-1.5 47.5)
grid_000922,-0.5,47.5,0.0,333.73827929314416,EU,C,TF,,POINT (-0.5 47.5)
grid_000923,-2.5,47.5,0.0,333.73270015558404,EU,C,TF,,POINT (-2.5 47.5)
grid_000924,-2.5,48.5,0.0,222.54238035026694,EU,C,NF,,POINT (-2.5 48.5)
grid_000925,-1.5,48.5,0.0,222.54516991903995,EU,C,NF,,POINT (-1.5 48.5)
grid_000927,-4.5,47.5,0.0,333.7271210180721,EU,C,SS,,POINT (-4.5 47.5)
grid_000930,-0.5,46.5,0.0,444.90911899662757,EU,C,TF,,POINT (-0.5 46.5)
grid_000931,-2.5,45.5,0.0,556.0548575563486,EU,C,TF,,POINT (-2.5 45.5)
grid_000932,-2.5,46.5,0.0,444.903539859068,EU,C,SS,,POINT (-2.5 46.5)
grid_000933,-1.5,46.5,0.0,444.90632942784254,EU,C,TF,,POINT (-1.5 46.5)
grid_000940,-2.5,50.5,0.0,0.10358690843620239,EU,C,TF,,POINT (-2.5 50.5)
grid_000942,-5.5,51.5,0.0,111.15305297650428,EU,C,TF,,POINT (-5.5 51.5)
grid_000943,-5.5,50.5,0.0,0.09521820218765592,EU,C,TF,,POINT (-5.5 50.5)
grid_000944,-4.5,50.5,0.0,0.09800777092546327,EU,C,TF,,POINT (-4.5 50.5)
grid_000946,-5.5,49.5,0.0,111.32427742450457,EU,C,TF,,POINT (-5.5 49.5)
grid_000947,-4.5,48.5,0.0,222.53680121275684,EU,C,TF,,POINT (-4.5 48.5)
grid_000948,-4.5,49.5,0.0,111.32706699324281,EU,C,TF,,POINT (-4.5 49.5)
grid_000949,-3.5,49.5,0.0,111.32985656199186,EU,C,TF,,POINT (-3.5 49.5)
grid_000950,-3.5,50.5,0.0,0.1007973396733286,EU,C,NF,,POINT (-3.5 50.5)
grid_000957,-6.5,50.5,0.0,0.09242863346167203,EU,C,TF,,POINT (-6.5 50.5)
grid_000960,-6.5,49.5,0.0,111.32148785577935,EU,C,TF,,POINT (-6.5 49.5)
grid_000962,-0.5,42.5,0.0,704.6022288073664,EU,C,TF,,POINT (-0.5 42.5)
grid_000963,-2.5,41.5,0.0,598.9093233660178,EU,C,TF,,POINT (-2.5 41.5)
grid_000964,-2.5,42.5,0.0,709.9769610266692,EU,C,NF,,POINT (-2.5 42.5)
grid_000965,-1.5,42.5,0.0,715.9368225690852,EU,C,NF,,POINT (-1.5 42.5)
grid_000966,-4.5,43.5,0.0,778.2932992462486,EU,C,NF,,POINT (-4.5 43.5)
grid_000967,-4.5,42.5,0.0,731.0221943454338,EU,C,TF,,POINT (-4.5 42.5)
grid_000968,-4.5,40.5,0.0,516.9289659871326,EU,C,TF,,POINT (-4.5 40.5)
grid_000969,-4.5,41.5,0.0,624.3019108884433,EU,C,NF,,POINT (-4.5 41.5)
grid_000970,-3.5,41.5,0.0,604.2547183855363,EU,C,SS,,POINT (-3.5 41.5)
grid_000971,-3.5,42.5,0.0,714.4246180091186,EU,C,TF,,POINT (-3.5 42.5)
grid_000972,-9.5,37.5,0.0,103.83844972357677,EU,C,TF,,POINT (-9.5 37.5)
grid_000973,-8.5,37.5,0.0,152.3691244683178,EU,C,NF,,POINT (-8.5 37.5)
grid_000974,-9.5,38.5,0.0,209.4516952496412,EU,C,NF,,POINT (-9.5 38.5)
grid_000975,-8.5,38.5,0.0,247.39675663392015,EU,C,NF,,POINT (-8.5 38.5)
grid_000976,-9.5,40.5,0.0,429.2373001115852,EU,C,TF,,POINT (-9.5 40.5)
grid_000977,-8.5,40.5,0.0,446.1655718943384,EU,C,NF,,POINT (-8.5 40.5)
grid_000978,-9.5,39.5,0.0,318.9434160639943,EU,C,NF,,POINT (-9.5 39.5)
grid_000979,-5.5,39.5,0.0,450.1545086598128,EU,C,NF,,POINT (-5.5 39.5)
grid_000980,-6.5,39.5,0.0,438.53780647757003,EU,C,TF,,POINT (-6.5 39.5)
grid_000981,-7.5,39.5,0.0,390.9548423532817,EU,C,TF,,POINT (-7.5 39.5)
grid_000982,-7.5,38.5,0.0,295.2686414797474,EU,C,TF,,POINT (-7.5 38.5)
grid_000983,-8.5,39.5,0.0,341.9020548973802,EU,C,NF,,POINT (-8.5 39.5)
grid_000985,-9.5,43.5,0.0,761.5263799011933,EU,C,NF,,POINT (-9.5 43.5)
grid_000986,-10.5,43.5,0.0,761.7467090000515,EU,C,TF,,POINT (-10.5 43.5)
grid_000987,-9.5,44.5,0.0,667.1671081755329,EU,C,SS,,POINT (-9.5 44.5)
grid_000988,-9.5,41.5,0.0,539.8538461138066,EU,C,NF,,POINT (-9.5 41.5)
grid_000989,-8.5,42.5,0.0,661.5999575732683,EU,C,NF,,POINT (-8.5 42.5)
grid_000990,-9.5,42.5,0.0,650.6384722123893,EU,C,TF,,POINT (-9.5 42.5)
grid_000991,-6.5,43.5,0.0,778.2877201087845,EU,C,NF,,POINT (-6.5 43.5)
grid_000992,-7.5,42.5,0.0,683.2435688347166,EU,C,TF,,POINT (-7.5 42.5)
grid_000993,-7.5,43.5,0.0,778.2849305400703,EU,C,TF,,POINT (-7.5 43.5)
grid_000994,-8.5,43.5,0.0,770.7685804831011,EU,C,NF,,POINT (-8.5 43.5)
grid_000995,-8.5,41.5,0.0,553.2136559808753,EU,C,TF,,POINT (-8.5 41.5)
grid_000996,-5.5,43.5,0.0,778.2905096775104,EU,C,NF,,POINT (-5.5 43.5)
grid_000997,-5.5,42.5,0.0,754.1189061527015,EU,C,NF,,POINT (-5.5 42.5)
grid_000998,-6.5,42.5,0.0,721.692070580322,EU,C,NF,,POINT (-6.5 42.5)
grid_000999,-5.5,41.5,0.0,654.2923259612203,EU,C,NF,,POINT (-5.5 41.5)
grid_001000,-6.5,40.5,0.0,533.0479028353179,EU,C,TF,,POINT (-6.5 40.5)
grid_001001,-5.5,40.5,0.0,550.2390506123417,EU,C,TF,,POINT (-5.5 40.5)
grid_001003,-7.5,41.5,0.0,579.3064885561386,EU,C,TF,,POINT (-7.5 41.5)
grid_001004,-6.5,41.5,0.0,628.6864366936366,EU,C,TF,,POINT (-6.5 41.5)
grid_001005,-10.5,36.5,0.0,13.717321438045564,EU,C,TF,,POINT (-10.5 36.5)
grid_001006,-10.5,37.5,0.0,105.5520555199005,EU,C,TF,,POINT (-10.5 37.5)
grid_001007,-10.5,40.5,0.0,429.6462006018914,EU,C,TF,,POINT (-10.5 40.5)
grid_001008,-10.5,39.5,0.0,319.5013939149939,EU,C,SS,,POINT (-10.5 39.5)
grid_001009,-10.5,38.5,0.0,210.31218476276382,EU,C,TF,,POINT (-10.5 38.5)
grid_001010,-10.5,41.5,0.0,540.1742838682279,EU,C,NF,,POINT (-10.5 41.5)
grid_001011,-10.5,42.5,0.0,650.9003849962203,EU,C,SS,,POINT (-10.5 42.5)
grid_001012,-6.5,56.5,0.0,667.6797840172757,EU,C,TF,,POINT (-6.5 56.5)
grid_001013,-5.5,56.5,0.0,667.6769944485501,EU,C,TF,,POINT (-5.5 56.5)
grid_001014,-7.5,55.5,0.0,556.3407556596835,EU,C,TF,,POINT (-7.5 55.5)
